Origin,Origin Country,Destination,Destination Country,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
AOJ,Japan,TPE,Taiwan,40.738757,140.689224,25.075512,121.23248
AOJ,Japan,ICN,Republic of Korea,40.738757,140.689224,37.458764,126.441961
AOR,Malaysia,KUL,Malaysia,6.191186,100.396629,2.744344,101.717259
AOR,Malaysia,SZB,Malaysia,6.191186,100.396629,3.130644,101.558078
AOR,Malaysia,JHB,Malaysia,6.191186,100.396629,1.63668,103.667959
AQG,China,CAN,China,30.5825,117.0509,23.387862,113.29734
AQG,China,PEK,China,30.5825,117.0509,40.078538,116.587095
AQG,China,HAK,China,30.5825,117.0509,19.934877,110.45896
AQG,China,TFU,China,30.5825,117.0509,30.314195,104.44186
AQG,China,KMG,China,30.5825,117.0509,25.101944,102.929167
AQG,China,NGB,China,30.5825,117.0509,29.826696,121.462002
AQG,China,XIY,China,30.5825,117.0509,34.438416,108.760946
AQG,China,XMN,China,30.5825,117.0509,24.543064,118.134178
AQG,China,WNZ,China,30.5825,117.0509,27.91566,120.847381
AQG,China,KWE,China,30.5825,117.0509,26.544217,106.79598
AQG,China,TSN,China,30.5825,117.0509,39.128273,117.355906
AQG,China,SZX,China,30.5825,117.0509,22.639444,113.810833
AQG,China,TAO,China,30.5825,117.0509,36.361944,120.088333
AQI,Saudi Arabia,RUH,Saudi Arabia,28.334408,46.121316,24.959289,46.702876
AQI,Saudi Arabia,JED,Saudi Arabia,28.334408,46.121316,21.670232,39.150579
AQI,Saudi Arabia,DXB,United Arab Emirates,28.334408,46.121316,25.256557,55.366071
AQJ,Jordan,AMM,Jordan,29.610074,35.021511,31.722535,35.989318
AQJ,Jordan,AUH,United Arab Emirates,29.610074,35.021511,24.426912,54.645974
AQJ,Jordan,IST,Turkiye,29.610074,35.021511,41.260278,28.741944
ARD,Indonesia,KOE,Indonesia,-8.132639,124.598106,-10.168536,123.667254
ASB,Turkmenistan,TAZ,Turkmenistan,37.984183,58.366978,41.763678,59.834052
ASB,Turkmenistan,CRZ,Turkmenistan,37.984183,58.366978,39.09258,63.601198
ASB,Turkmenistan,IST,Turkiye,37.984183,58.366978,41.260278,28.741944
ASB,Turkmenistan,KRW,Turkmenistan,37.984183,58.366978,40.056157,53.012671
ASB,Turkmenistan,MYP,Turkmenistan,37.984183,58.366978,37.664034,61.829644
ASB,Turkmenistan,KEA,Turkmenistan,37.984183,58.366978,37.822201,65.135306
